Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,0,3,2,1,2,264
SC11,SC11-0924-0119_resampled,1,3,2,2,2,265
SC11,SC11-0924-0119_resampled,1,3,1,1,1,266
SC11,SC11-0924-0119_resampled,1,3,1,1,1,267
SC11,SC11-0924-0119_resampled,0,3,2,1,2,268
SC11,SC11-0924-0119_resampled,0,3,2,1,2,269
SC11,SC11-0924-0119_resampled,1,3,2,2,2,270
SC11,SC11-0924-0119_resampled,1,3,1,1,1,271
SC11,SC11-0924-0119_resampled,0,3,1,2,1,272
SC11,SC11-0924-0119_resampled,0,3,1,2,1,273
SC11,SC11-0924-0119_resampled,1,3,1,1,1,274
SC11,SC11-0924-0119_resampled,0,3,2,1,2,275
SC11,SC11-0924-0119_resampled,0,3,2,1,2,276
SC11,SC11-0924-0119_resampled,1,3,2,2,2,277
SC11,SC11-0924-0119_resampled,1,3,1,1,1,278
SC11,SC11-0924-0119_resampled,1,3,1,1,1,279
SC11,SC11-0924-0119_resampled,0,3,2,1,2,280
SC11,SC11-0924-0119_resampled,1,3,2,2,2,281
SC11,SC11-0924-0119_resampled,1,3,1,1,1,282
SC11,SC11-0924-0119_resampled,0,3,1,2,1,283
SC11,SC11-0924-0119_resampled,0,3,1,2,1,284
SC11,SC11-0924-0119_resampled,1,3,1,1,1,285
SC11,SC11-0924-0119_resampled,1,3,1,1,1,286
SC11,SC11-0924-0119_resampled,0,3,2,1,2,287
SC11,SC11-0924-0119_resampled,1,3,2,2,2,288
SC11,SC11-0924-0119_resampled,1,3,1,1,1,289
SC11,SC11-0924-0119_resampled,1,3,1,1,1,290
SC11,SC11-0924-0119_resampled,1,3,1,1,1,291
SC11,SC11-0924-0119_resampled,0,3,2,1,2,292
SC11,SC11-0924-0119_resampled,1,3,2,2,2,293
SC11,SC11-0924-0119_resampled,1,3,1,1,1,294
SC11,SC11-0924-0119_resampled,1,3,2,2,2,295
SC11,SC11-0924-0119_resampled,1,3,1,1,1,296
SC11,SC11-0924-0119_resampled,1,3,2,2,2,297
SC11,SC11-0924-0119_resampled,1,3,1,1,1,298
SC11,SC11-0924-0119_resampled,1,3,2,2,2,299
SC11,SC11-0924-0119_resampled,1,1,1,1,1,300
SC11,SC11-0924-0119_resampled,0,1,1,2,2,301
SC11,SC11-0924-0119_resampled,0,1,1,2,2,302
SC11,SC11-0924-0119_resampled,1,1,1,1,2,303
SC11,SC11-0924-0119_resampled,1,1,1,1,1,304
SC11,SC11-0924-0119_resampled,1,1,1,1,1,305
SC11,SC11-0924-0119_resampled,0,1,1,2,2,306
SC11,SC11-0924-0119_resampled,1,1,1,1,2,307
SC11,SC11-0924-0119_resampled,0,1,1,2,2,308
SC11,SC11-0924-0119_resampled,1,1,1,1,2,309
SC11,SC11-0924-0119_resampled,0,1,1,2,2,310
SC11,SC11-0924-0119_resampled,0,1,1,2,2,311
SC11,SC11-0924-0119_resampled,1,1,1,1,2,312
SC11,SC11-0924-0119_resampled,1,1,1,1,1,313
SC11,SC11-0924-0119_resampled,1,1,1,1,2,314
SC11,SC11-0924-0119_resampled,1,1,1,1,1,315
SC11,SC11-0924-0119_resampled,1,1,1,1,1,316
SC11,SC11-0924-0119_resampled,1,1,1,1,1,317
SC11,SC11-0924-0119_resampled,1,1,1,1,2,318
SC11,SC11-0924-0119_resampled,1,1,1,1,1,319
SC11,SC11-0924-0119_resampled,0,1,1,2,2,320
SC11,SC11-0924-0119_resampled,1,1,1,1,2,321
SC11,SC11-0924-0119_resampled,1,1,1,1,1,322
SC11,SC11-0924-0119_resampled,1,1,1,1,2,323
SC11,SC11-0924-0119_resampled,1,1,1,1,1,324
SC11,SC11-0924-0119_resampled,1,1,1,1,2,325
SC11,SC11-0924-0119_resampled,0,2,2,1,2,326
SC11,SC11-0924-0119_resampled,1,2,2,2,2,327
SC11,SC11-0924-0119_resampled,1,2,2,2,2,328
SC11,SC11-0924-0119_resampled,0,2,2,1,2,329
SC11,SC11-0924-0119_resampled,1,2,2,2,2,330
SC11,SC11-0924-0119_resampled,1,2,2,2,2,331
SC11,SC11-0924-0119_resampled,0,2,2,1,1,332
SC11,SC11-0924-0119_resampled,0,2,2,1,1,333
SC11,SC11-0924-0119_resampled,0,2,2,1,1,334
SC11,SC11-0924-0119_resampled,0,2,2,1,1,335
SC11,SC11-0924-0119_resampled,1,2,2,2,1,336
SC11,SC11-0924-0119_resampled,0,2,2,1,1,337
SC11,SC11-0924-0119_resampled,1,2,2,2,1,338
SC11,SC11-0924-0119_resampled,0,2,2,1,2,339
SC11,SC11-0924-0119_resampled,1,2,2,2,2,340
SC11,SC11-0924-0119_resampled,1,2,2,2,1,341
SC11,SC11-0924-0119_resampled,1,2,2,2,2,342
SC11,SC11-0924-0119_resampled,1,2,2,2,2,343
SC11,SC11-0924-0119_resampled,0,2,2,1,1,344
SC11,SC11-0924-0119_resampled,1,2,2,2,1,345
SC11,SC11-0924-0119_resampled,1,2,2,2,2,346
SC11,SC11-0924-0119_resampled,1,2,2,2,1,347
SC11,SC11-0924-0119_resampled,1,2,2,2,2,348
SC11,SC11-0924-0119_resampled,0,2,2,1,2,349
SC11,SC11-0924-0119_resampled,1,2,2,2,2,350
SC11,SC11-0924-0119_resampled,1,2,2,2,2,351
SC11,SC11-0924-0119_resampled,0,2,2,1,2,352
SC11,SC11-0924-0119_resampled,1,2,2,2,2,353
SC11,SC11-0924-0119_resampled,1,2,2,2,2,354
SC11,SC11-0924-0119_resampled,1,2,2,2,1,355
SC11,SC11-0924-0119_resampled,0,2,2,1,1,356
SC11,SC11-0924-0119_resampled,1,2,2,2,1,357
SC11,SC11-0924-0119_resampled,1,2,2,2,2,358
SC11,SC11-0924-0119_resampled,0,2,2,1,1,359
SC11,SC11-0924-0119_resampled,0,2,2,1,1,360
SC11,SC11-0924-0119_resampled,1,2,2,2,1,361
SC11,SC11-0924-0119_resampled,1,2,2,2,2,362
SC11,SC11-0924-0119_resampled,1,2,2,2,2,363
