Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM02,HM02-0523-0109.mat,13.7703962663036,1,4,27,2,2,1,4798060,4805100,2,3
HM02,HM02-0523-0109.mat,11.0535482247425,1,4,28,1,1,2,4834880,4838740,2,1
HM02,HM02-0523-0109.mat,10.186635956597,0,4,29,2,1,1,4873580,4880040,2,4
HM02,HM02-0523-0109.mat,4.90003897158187,1,4,30,2,2,1,4902500,4906460,2,3
HM02,HM02-0526-0112.mat,5.57424246003544,1,3,1,1,1,1,641300,643360,4,4
HM02,HM02-0526-0112.mat,3.33107434960611,0,3,2,1,2,1,678020,680440,4,3
HM02,HM02-0526-0112.mat,7.0668934405061,1,3,3,1,1,1,700440,702220,4,4
HM02,HM02-0526-0112.mat,5.59300993283351,0,3,4,2,1,2,733160,736240,4,1
HM02,HM02-0526-0112.mat,15.0245225172921,1,3,5,2,2,2,766760,769340,2,2
HM02,HM02-0526-0112.mat,2.38418719732535,1,3,6,1,1,1,801240,803080,2,4
HM02,HM02-0526-0112.mat,3.62231100189187,1,3,7,1,1,1,834160,837080,2,4
HM02,HM02-0526-0112.mat,2.6756362258636,1,3,8,1,1,1,865540,867420,2,4
HM02,HM02-0526-0112.mat,4.85169185193341,1,3,9,2,2,2,898220,900640,2,2
HM02,HM02-0526-0112.mat,4.33148359075485,0,3,10,2,1,2,932380,934460,2,1
HM02,HM02-0526-0112.mat,4.12092774046306,1,3,11,2,2,2,953840,955920,2,2
HM02,HM02-0526-0112.mat,3.44377993613678,0,3,12,1,2,1,988180,990800,2,3
HM02,HM02-0526-0112.mat,3.28777805927869,1,3,13,1,1,1,1005920,1007940,2,4
HM02,HM02-0526-0112.mat,4.2281238956567,1,3,14,1,1,1,1045120,1047780,2,4
HM02,HM02-0526-0112.mat,4.40268829541246,1,3,15,2,2,2,1078960,1080960,2,2
